word,emotion,pleasantness,attention,aptitude,sensitivity,sentiment,afinn_score,color,orientation,subjectivity
abundantly,,-0.95,0.0,0.0,-0.75,negative,,,,
abusable,,-0.86,0.0,0.0,-0.75,negative,,,,
abuse,anger,-0.81,0.0,0.819,-0.53,negative,-3,black,active,weak
abused,,,,,,negative,-3,,,
abuses,,,,,,negative,-3,,,weak
abusing,,-0.98,0.0,0.0,-0.97,negative,,,,
abusive,,-0.9,0.0,-0.71,0.0,negative,-3,,,strong
abusively,,0.0,0.144,0.717,-0.66,positive,,,,
abut,,0.971,0.0,0.892,0.0,positive,,,,
abuzz,,0.95,0.825,0.0,0.0,positive,,,,
abysm,,0.863,0.9,0.0,0.0,positive,,,,
abysmal,sadness,0.861,0.0,0.758,0.0,negative,,black,,strong
abysmally,,-0.71,0.0,-0.73,0.0,negative,,,,strong
abyss,fear,-0.98,0.0,0.0,-0.97,negative,,black,,strong
abyssal,,-0.73,0.0,0.0,-0.75,negative,,,,
academese,,-0.89,0.0,0.987,-0.9,negative,,,,
academic,trust,0.0,0.0,0.699,0.943,positive,,,,
academical,,-0.67,0.0,0.936,-0.55,negative,,,,
academically,,-0.82,0.0,0.956,-0.58,negative,,,,
academician,,0.0,0.0,0.699,0.943,positive,,,,
academicism,,0.592,-0.64,0.0,0.942,positive,,,,
academism,,0.99,0.885,0.0,0.91,positive,,,,
academy,,,,,,positive,,,,
acalculia,,-0.45,0.0,0.0,0.0,negative,,,,
acanthamoeba,,0.0,0.0,0.0,-0.09,negative,,,,
acanthocephalan,,0.688,-0.94,0.0,0.925,positive,,,,
acanthotic,,-0.5,0.0,0.868,-0.79,negative,,,,
acaricide,,-0.74,0.0,-0.86,0.0,negative,,,,
acarophobia,,-0.8,0.0,0.0,-0.9,negative,,,,
acausal,,0.983,-0.8,0.0,0.966,positive,,,,
accede,,0.0,0.0,-0.17,0.0,positive,,,active,strong
accelerant,,-0.89,0.0,0.672,-0.69,negative,,,,
accelerate,anticipation,0.0,0.0,0.83,0.0,positive,,purple,active,
acceleration,,0.0,0.0,-0.81,-0.81,negative,,,active,
accelerator,,-0.97,0.0,0.0,-0.87,negative,,,,
accelerometer,,0.0,0.0,0.817,0.695,positive,,,,
accentual,,-0.84,0.0,0.574,-0.66,negative,,,,
accentuate,,-0.97,0.0,0.496,-0.97,positive,,,active,strong
accentuation,,-0.84,0.0,0.574,-0.66,negative,,,,
accept,,0.707,0.0,0.739,0.0,positive,1,yellow,passive,weak
acceptability,,-0.84,0.0,-0.82,0.0,negative,,,,
acceptable,,0.998,0.0,0.878,0.0,positive,,,,weak
acceptableness,,1.0,0.0,0.878,0.0,positive,,,,
acceptably,,0.761,0.603,-0.21,0.333,positive,,,,
acceptance,,0.0,0.0,0.0,0.33,positive,,,passive,weak
acceptation,,0.577,-0.77,0.0,0.517,positive,,,,
accepted,,,,,,positive,1,,,
accepting,,,,,,positive,1,,,
accepts,,,,,,positive,1,,,
accesible,,0.741,-0.77,0.0,0.665,positive,,,,
access,,0.83,0.0,0.971,0.0,positive,,green,,
accessable,,0.741,-0.77,0.0,0.665,positive,,,,
accessary,,0.0,0.075,0.028,0.173,positive,,,,
accessibility,,-0.98,0.0,0.0,-0.97,negative,,,,
accessible,,0.741,-0.77,0.0,0.665,positive,,,,weak
accessibly,,0.744,-0.76,0.0,0.669,positive,,,,
accession,,0.861,0.983,0.0,0.0,positive,,,,
accessories,,0.9,0.0,0.0,0.9,positive,,,,
accessory,,0.0,0.075,0.028,0.173,positive,,,,
accident,fear,-0.24,-0.09,0.0,-0.24,negative,-2,red,,
accidental,fear,-0.84,0.0,0.504,-0.8,negative,-2,,,weak
accidentally,surprise,-0.91,0.0,0.905,-0.78,negative,-2,,,
accidently,,-0.83,0.0,0.962,-0.62,negative,,,,
accidents,,,,,,negative,-2,,,
accidie,,0.0,0.0,-0.17,0.0,negative,,,,
acclaim,,0.853,0.828,0.0,0.98,positive,,,,strong
acclaimed,,0.772,0.825,0.0,0.0,positive,,,,strong
acclamation,,0.801,0.0,0.968,0.0,positive,,,,strong
acclimate,,0.917,0.0,0.902,0.0,positive,,,,
accolade,anticipation,0.83,0.0,0.0,0.0,positive,,,,strong
accolades,,,,,,positive,,,,strong
accommodate,,0.0,0.0,0.0,0.447,positive,,,active,
accommodation,,-0.98,0.0,0.851,-0.63,positive,,,,
accommodationist,,0.955,0.0,0.0,0.941,positive,,,,
accommodative,,0.0,0.0,-0.98,-0.85,positive,,,,weak
accomodative,,,,,,positive,,,,
accompaniment,anticipation,0.848,0.826,0.0,0.98,positive,,,,
accompany,,0.0,0.0,0.0,0.441,positive,,,active,
accompanying,,-0.98,0.0,0.0,-0.97,negative,,,,
accomplish,joy,0.936,0.0,0.0,0.0,positive,2,,active,weak
accomplishable,,0.0,0.164,0.0,0.0,positive,,,,
accomplished,joy,0.779,0.0,0.0,0.837,positive,2,,,
accomplishes,,0.9,0.0,0.0,0.0,positive,2,,,
accomplishment,,0.62,0.0,0.0,0.59,positive,,,active,weak
accomplishments,,,,,,positive,,,,weak
accord,trust,0.623,0.62,-0.29,0.364,positive,,,,weak
accordait,,-0.57,0.0,0.827,-0.7,negative,,,,
accordance,,0.0,0.0,0.862,0.955,positive,,,,weak
accordant,,0.0,0.168,0.0,0.0,positive,,,,
accordantly,,0.945,0.0,0.959,0.0,positive,,,,weak
accordingly,,0.981,-0.99,0.0,0.934,positive,,,,
accordion,,0.896,0.72,0.0,0.0,positive,,black,,
accost,,0.797,0.857,0.0,0.0,negative,,,active,weak
account,trust,,,,,,,,active,
accountability,trust,0.0,0.0,0.0,0.17,positive,,,,
accountable,trust,0.587,-0.6,0.0,0.519,positive,,,,weak
accountant,trust,-0.69,0.0,0.659,-0.69,negative,,green,,
accountholder,,0.023,0.226,-0.1,0.188,positive,,,,
accounts,trust,,,,,,,,,
accoutre,,0.0,0.0,0.0,0.164,positive,,,,
accoutrement,,0.76,0.0,0.862,0.0,positive,,,,
accredit,,0.964,0.0,0.77,0.873,positive,,,,
accreditation,,-0.87,0.0,0.817,-0.56,negative,,,,
accredited,trust,,,,,positive,,,,
accrete,,0.72,0.0,0.746,0.0,positive,,,,
accretion,,0.0,0.0,0.952,0.78,positive,,,,
accretionary,,-0.95,0.0,0.739,-0.59,negative,,,,
accrual,,0.735,-0.71,0.0,0.566,positive,,,,
accrue,,-0.45,0.0,0.0,0.0,positive,,green,active,
accueil,,,,,,positive,,,,
acculturation,,0.847,0.824,0.0,0.98,positive,,,,
acculturative,,0.847,0.824,0.0,0.98,positive,,,,
accumulate,,-0.83,0.0,0.0,-0.77,negative,,,active,
accumulation,,0.0,0.0,0.952,0.78,positive,,,active,
accumulator,,0.695,0.0,0.0,0.899,positive,,,,
accuracy,,0.699,-0.74,0.0,0.831,positive,,,,
accurate,trust,0.0,0.0,0.954,0.837,positive,,,,weak
accurately,,0.728,0.0,0.801,0.0,positive,,,,weak
accurateness,,,,,,positive,,,,
accurse,,-0.06,0.183,0.651,-0.64,positive,,,,
accursed,anger,,,,,negative,,black,,strong
accurst,,-0.65,0.0,0.973,-0.93,negative,,,,
accusal,,-0.7,0.0,0.874,-0.75,negative,,,,
accusation,anger,-0.7,0.0,0.874,-0.75,negative,-2,,,strong
accusations,,,,,,negative,-2,,,strong
accusative,,-0.82,0.0,0.81,-0.61,negative,,red,,
accusatory,,-0.82,0.0,0.81,-0.61,negative,,,,
accuse,,-0.71,0.0,-0.88,0.0,negative,-2,,,strong
accused,anger,-0.8,0.0,0.0,-0.9,negative,-2,red,,
accuser,anger,,,,,negative,,black,,
accuses,,,,,,negative,-2,,,strong
accusing,anger,,,,,negative,-2,,,strong
accusingly,,-0.89,0.168,-0.6,0.05,negative,,,,strong
accustom,,,,,,,,,passive,
ace,,0.896,0.0,0.86,0.0,positive,,black,,
acedia,,-0.98,0.0,0.83,-0.6,negative,,,,
acentric,,0.0,0.0,0.0,-0.17,negative,,,,
acerate,,0.808,0.0,0.899,0.0,positive,,,,
acerb,,-0.78,0.0,0.0,-0.74,negative,,,,
acerbate,,0.0,0.0,-0.79,-0.92,negative,,,,strong
acerbic,,-0.8,0.0,0.0,-0.91,negative,,,,strong
acerbically,,,,,,negative,,,,strong
acerbity,,0.0,0.0,0.0,-0.87,negative,,,,
acerose,,0.808,0.0,0.899,0.0,positive,,,,
acetabular,,0.681,-0.63,0.0,0.647,positive,,,,
acetabulum,,0.681,-0.63,0.0,0.647,positive,,,,
acetaminophen,,-0.98,0.0,0.601,-0.69,negative,,,,
acetate,,-0.81,0.0,0.765,-0.78,negative,,,,
acetazolamide,,-0.76,0.0,0.681,-0.57,negative,,,,
acetify,,-0.7,0.0,0.518,-0.51,negative,,,,
acetoacetate,,0.766,-0.87,0.0,0.666,positive,,,,
acetobacter,,-0.99,0.0,0.987,-0.96,negative,,,,
acetone,,0.843,-0.95,0.0,0.648,positive,,,,
acetonitrile,,0.727,-0.84,0.0,0.966,positive,,,,
acetophenone,,-0.65,0.0,0.935,-0.96,negative,,,,
acetose,,0.066,0.0,0.028,0.062,positive,,,,
acetyl,,-0.65,0.0,0.935,-0.96,negative,,,,
acetylacetone,,-0.65,0.0,0.935,-0.96,negative,,,,
acetylcysteine,,-0.59,0.0,0.537,-0.57,negative,,,,
acetylene,,0.0,0.0,-0.08,0.0,negative,,,,
achalasia,,-0.54,0.0,0.882,-0.71,negative,,,,
ache,sadness,-0.1,-0.02,-0.07,-0.14,negative,-2,,passive,strong
ached,,,,,,negative,,,,
achene,,0.0,0.0,0.073,-0.03,positive,,,,
acheronian,,0.0,0.0,-0.84,-0.79,negative,,,,
acherontic,,0.0,0.0,-0.84,-0.79,negative,,,,
aches,,,,,,negative,,,,
achey,,,,,,negative,,,,
achievability,,0.772,0.0,0.0,0.842,positive,,,,
achievable,,0.0,0.166,0.0,0.0,positive,1,,,weak
achieve,joy,0.77,0.715,0.0,0.984,positive,,green,active,weak
achieved,,0.773,0.0,0.0,0.839,positive,,,,
achievement,anticipation,0.83,0.0,0.0,0.0,positive,,yellow,active,weak
achievements,,,,,,positive,,,,weak
achiever,,0.701,-0.59,0.0,0.908,positive,,,,
achievible,,,,,,positive,,,,
achillea,,0.906,0.788,0.0,0.0,positive,,,,
achilles,,-0.98,0.0,0.0,-0.97,negative,,,,
aching,sadness,-0.74,0.0,0.872,-0.61,negative,-2,red,,
achingly,,0.552,0.681,-0.29,0.297,positive,,,,
achkan,,-0.02,-0.05,0.092,-0.06,negative,,,,
achlorhydria,,-0.6,0.0,0.544,-0.53,negative,,,,
achondroplasia,,-0.85,0.0,0.572,-0.75,negative,,,,
achondroplasty,,-0.85,0.0,0.572,-0.75,negative,,,,
achosi,,-0.75,0.0,0.979,-0.51,negative,,,,
achromat,,0.968,-0.55,0.0,0.799,positive,,,,
achromatic,,0.096,0.078,0.0,0.083,positive,,,,
achromatism,,0.096,0.078,0.0,0.083,positive,,,,
achromatopsia,,-0.91,0.0,0.961,-0.55,negative,,,,
achte,,-0.84,0.0,-0.9,0.0,negative,,,,
achy,,-0.76,0.0,-0.91,0.0,negative,,,,
acicular,,0.808,0.0,0.899,0.0,positive,,,,
acid,,-0.81,0.0,0.765,-0.78,negative,,,,
acid-fast,,0.0,0.0,0.828,0.908,positive,,,,
acidic,,-0.65,0.0,0.93,-0.96,negative,,,,
acidification,,-0.92,0.0,-0.88,0.0,negative,,,,
acidify,,-0.7,0.0,0.518,-0.51,negative,,,,
acidity,,0.066,0.0,0.028,0.062,positive,,,,
acidly,,-0.89,0.168,-0.6,0.05,negative,,,,
acidophil,,0.902,-0.66,0.0,0.85,positive,,,,
acidophile,,0.905,-0.65,0.0,0.851,positive,,,,
acidophilic,,0.905,-0.65,0.0,0.851,positive,,,,
acidophilus,,-0.99,0.0,0.987,-0.96,negative,,,,
acidulate,,-0.7,0.0,0.518,-0.51,negative,,,,
acidulent,,-0.65,0.0,0.93,-0.96,negative,,,,
aciduria,,-0.57,0.0,0.973,-0.84,negative,,,,
acini,,0.681,-0.63,0.0,0.647,positive,,,,
ack-ack,,0.927,0.886,0.0,0.0,positive,,,,
ackee,,0.0,0.066,-0.05,0.089,positive,,,,
acknowledge,,0.707,0.0,0.732,0.0,positive,,,,weak
acknowledgeable,,0.935,-0.95,0.0,0.949,positive,,,,
acknowledgement,,0.0,0.0,0.0,0.17,positive,,,,weak
acknowledgment,,0.964,0.0,0.77,0.873,positive,,,,
acme,,,,,,,,yellow,,
acne,,0.0,0.0,0.0,-0.45,negative,,,,
acned,,-0.85,0.0,0.803,-0.85,negative,,,,
acnielsen,,-0.59,0.0,0.973,-0.97,negative,,,,
acoel,,0.688,-0.94,0.0,0.925,positive,,,,
acold,,-0.93,0.0,0.966,-0.68,negative,,,,
acolyte,,0.0,0.0,0.781,-0.89,negative,,,,
aconite,,-0.5,0.0,0.578,-0.57,negative,,,,
acoustic,,-0.89,0.0,-0.87,0.0,negative,,,,
acoustical,,-0.89,0.0,-0.87,0.0,negative,,,,
acoustically,,-0.9,0.0,0.657,-0.64,negative,,,,
acoustics,,0.831,0.0,0.782,0.0,positive,,,,
acqua,,0.905,0.0,0.0,0.859,positive,,,,
acquaint,,0.904,0.0,0.0,0.963,positive,,,,
acquaintance,,0.866,-0.75,0.0,0.787,positive,,,,
acquaintanceship,,0.608,0.647,-0.26,0.325,positive,,,,
acquainted,,,,,,,,yellow,,
acquiesce,,0.0,0.0,0.0,-0.45,negative,,,,
acquiescence,,-0.91,0.0,0.521,-0.81,negative,,,,
acquiescent,,0.023,0.275,-0.18,0.298,positive,,,,
acquire,,0.802,0.0,0.937,0.0,positive,,green,active,
acquirement,,0.872,-0.76,0.0,0.954,positive,,,,
acquireth,,-0.06,0.183,0.651,-0.64,positive,,,,
acquiring,anticipation,,,,,positive,,,,
acquisition,,0.679,-0.75,0.0,0.658,positive,,,active,
acquisitions,,,,,,,,grey,,
acquisitive,,0.0,0.0,-0.9,-0.86,negative,,,,
acquisitiveness,,-0.5,0.0,0.939,-0.83,negative,,,,
acquit,,0.801,0.0,0.0,0.949,positive,2,,,weak
acquits,,,,,,positive,2,,,
acquittal,,0.0,0.0,0.0,0.45,positive,,,,
acquitted,,,,,,positive,2,,,
acquitting,,,,,,positive,2,,,
acral,,-0.85,0.0,0.676,-0.82,negative,,,,
acreage,,,,,,,,green,,
acres,,,,,,,,green,,
acrid,,-0.78,0.0,0.0,-0.74,negative,,,,strong
acridity,,-0.67,0.0,0.863,-0.86,negative,,,,
acridly,,,,,,negative,,,,strong
acridness,,,,,,negative,,,,strong
acrimonious,,,,,,negative,-3,,,strong
acrimoniously,,0.608,0.647,-0.26,0.325,negative,,,,strong
acrimoniousness,,0.0,0.0,-0.66,0.0,negative,,,,
acrimony,,0.0,0.157,0.692,-0.66,negative,,,passive,strong
acrobat,fear,0.798,0.0,0.0,0.929,positive,,,,
acrobatic,,0.871,0.917,0.0,0.0,positive,,,,
acrobatically,,0.856,0.0,0.0,0.82,positive,,,,
acromegalic,,-0.73,0.0,0.904,-0.53,negative,,,,
acromegaly,,0.902,-0.66,0.0,0.85,positive,,,,
acromion,,0.681,-0.63,0.0,0.647,positive,,,,
acronym,,0.824,0.0,0.0,0.0,positive,,,,
acronymic,,-0.94,0.0,0.636,-0.74,negative,,,,
acrophobia,,0.0,-0.17,0.0,0.0,negative,,,,
acrophobic,,-0.44,0.311,0.049,-0.39,negative,,,,
acroread,,0.798,0.0,0.0,0.929,positive,,,,
across-the-board,,0.729,0.0,0.0,0.891,positive,,,,
acrotomophilia,,-0.62,0.0,0.515,-0.63,negative,,,,
acrylic,,0.678,-0.89,0.0,0.804,positive,,,,
act,,,,,,,,,active,
actara,,-0.8,0.0,0.962,-0.55,negative,,,,
acth,,0.685,-0.89,0.0,0.765,positive,,,,
acting,,,,,,,,orange,,
action,,,,,,positive,,green,active,
action-comedy,,-0.98,0.0,0.0,-0.97,negative,,,,
actionable,anger,,,,,negative,,,,
actioner,,0.0,0.0,0.0,-0.17,negative,,,,
activated,,0.763,-0.87,0.0,0.658,positive,,,,
activating,,0.547,-0.69,0.0,0.52,positive,,,,
activation,,0.868,0.0,0.0,0.797,positive,,,,
activcard,,0.0,0.884,0.0,0.0,positive,,,,
active,,0.71,0.0,0.0,0.745,positive,1,,active,weak
active-duty,,0.951,0.0,0.0,0.905,positive,,,,
activewear,,-0.69,0.0,0.94,-0.95,negative,,,,
activist,,,,,,,,,,strong
activity,,0.9,0.0,0.0,0.9,positive,,,active,
actomyosin,,0.95,-0.62,0.0,0.756,positive,,,,
actor,,,,,,,,,active,
actorly,,-0.71,0.0,0.938,-0.96,negative,,,,
actual,,0.11,0.261,0.0,0.211,positive,,,,strong
actualise,,-0.05,0.178,-0.12,0.142,positive,,,,
actuality,,0.0,0.0,-0.87,-0.73,positive,,black,,strong
actualization,,0.13,0.064,0.0,0.365,positive,,,,
actualize,,-0.05,0.178,-0.12,0.142,positive,,,,
actually,,,,,,,,,,strong
actuate,,0.839,-0.66,0.0,0.952,positive,,,,
actuated,,0.888,0.0,0.717,0.0,positive,,,,
actuation,,0.0,0.203,-0.13,0.18,positive,,,,
actuator,,0.804,0.0,0.0,0.929,positive,,,,
